Item No	Item Description	Product Group	PUOM	PUOMDESC	QtyPerUOM	UPC13	PackPrice	PackCost	Stock	ItemType	Remove this row and save it as tab delimited to import in ZWMS
1018	LETTUCE   ROMANI-3201C	3201C	KG	Kilograms	1	1018	6.52	5.25	100	Stockable	
1019	CAPSICUM  GREEN  -3201C	3201C	KG	Kilograms	1	1019	6.3	4.5	100	Stockable	
101993	CHOCO POPS CEREAL 375 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	2001001019938	30.87	19.17	100	Stockable	
101993	CHOCO POPS CEREAL 375 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	4003994127582	30.87	19.17	100	Stockable	
101993	CHOCO POPS CEREAL 375 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	5053827183857	30.87	19.17	100	Stockable	
101993	CHOCO POPS CEREAL 375 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	5059319024882	30.87	19.17	100	Stockable	
101993	CHOCO POPS CEREAL 375 GRAMS  KELLOGS-1110A	1110A	016	16 X 1	16	5059319024899	322.86	306.75	100	Stockable	
1020	CHILLI  GREEN  LONG-3201C	3201C	KG	Kilograms	1	1020	5.65	4	100	Stockable	
1021	LEMON AFRICA-3201C	3201C	BBOX	BIG BOX	15	2030000318520	109.52	42.8	100	Stockable	
1021	LEMON AFRICA-3201C	3201C	KG	Kilograms	1	1021	6.04	2.85	100	Stockable	
1022	ONION RED-3201C	3201C	KG	Kilograms	1	1022	4.78	3.9	100	Stockable	
1023	GARLIC -3201C	3201C	KG	Kilograms	1	1023	10.39	6.21	100	Stockable	
102326	FINE DARK COCOA POWDER TIN 125 GRAMS  HINTZ-1111E	1111E	001	1 X 1	1	2001001023263	25.17	17.28	100	Stockable	
102326	FINE DARK COCOA POWDER TIN 125 GRAMS  HINTZ-1111E	1111E	001	1 X 1	1	2001002236600	25.17	17.28	100	Stockable	
102326	FINE DARK COCOA POWDER TIN 125 GRAMS  HINTZ-1111E	1111E	001	1 X 1	1	4104220122026	25.17	17.28	100	Stockable	
102326	FINE DARK COCOA POWDER TIN 125 GRAMS  HINTZ-1111E	1111E	020	20 X 1	20	4104220122194	359	345.54	100	Stockable	
1024	ARVI   -3201C	3201C	KG	Kilograms	1	1024	14.74	13	100	Stockable	
10240	SPRAY  EAU DE COLOGNE 250 Milliliters  COLIRI-2103C	2103C	001	1 X 1	1	0306137576201	30.39	24.59	100	Stockable	
10240	SPRAY  EAU DE COLOGNE 250 Milliliters  COLIRI-2103C	2103C	001	1 X 1	1	2000100102404	30.39	24.59	100	Stockable	
10240	SPRAY  EAU DE COLOGNE 250 Milliliters  COLIRI-2103C	2103C	001	1 X 1	1	2001000102402	30.39	24.59	100	Stockable	
10240	SPRAY  EAU DE COLOGNE 250 Milliliters  COLIRI-2103C	2103C	001	1 X 1	1	3061375762013	30.39	24.59	100	Stockable	
10240	SPRAY  EAU DE COLOGNE 250 Milliliters  COLIRI-2103C	2103C	001	1 X 1	1	6285535001584	30.39	24.59	100	Stockable	
1025	GABI ROOT-3201C	3201C	KG	Kilograms	1	1025	6.91	5.75	100	Stockable	
10251	RICE CRISPIES  375 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	5053827184717	32.13	26.98	100	Stockable	
10252	HONEY SMACKS   375 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	4003994120903	34.74	28.32	100	Stockable	
10252	HONEY SMACKS   375 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	4003994637159	34.74	28.32	100	Stockable	
10252	HONEY SMACKS   375 GRAMS  KELLOGS-1110A	1110A	016	16 X 1	16	0000020746209	311	453.04	100	Stockable	
10252	HONEY SMACKS   375 GRAMS  KELLOGS-1110A	1110A	016	16 X 1	16	2016000102529	311	453.04	100	Stockable	
10253	ALLBRAN CEREAL  WITH RASIAN 500 GRAMS  KELLOGS-1110A	1110A	001	1 X 1	1	5000127081840	22.81	15.47	100	Stockable	
10253	ALLBRAN CEREAL  WITH RASIAN 500 GRAMS  KELLOGS-1110A	1110A	018	18 X 1	18	2030001063160	408.57	278.51	100	Stockable	
10253	ALLBRAN CEREAL  WITH RASIAN 500 GRAMS  KELLOGS-1110A	1110A	010	10 X 1	10	05013503082843	175.24	154.73	100	Stockable	
